ROU,Romania,N/A,N/A,N/A,N/A,N/A
RUS,Russian Federation,N/A,439.3,323.4,308.4,404.6
RWA,Rwanda,N/A,N/A,N/A,N/A,N/A
KNA,Saint Kitts and Nevis,N/A,N/A,N/A,N/A,N/A
LCA,Saint Lucia,N/A,N/A,N/A,N/A,N/A
VCT,Saint Vincent and the Grenadines,N/A,N/A,N/A,N/A,N/A
STP,Sao Tome and Principe,N/A,N/A,N/A,N/A,N/A
SAU,Saudi Arabia,N/A,N/A,N/A,N/A,N/A
SEN,Senegal,N/A,N/A,N/A,N/A,N/A
SRB,Serbia,N/A,N/A,480.7,504.8,602.7
SLE,Sierra Leone,N/A,N/A,N/A,N/A,N/A
SGP,Singapore,1587.9,1825,1189.9,1334.7,1271.6
SVK,Slovakia,N/A,N/A,N/A,N/A,N/A
SVN,Slovenia,N/A,N/A,N/A,N/A,N/A
SLB,Solomon Islands,N/A,N/A,N/A,N/A,N/A
SOM,Somalia,N/A,N/A,N/A,N/A,N/A
ZAF,South Africa,84.6,218.1,119.5,124.9,502.9
SSD,South Sudan,N/A,N/A,N/A,N/A,N/A
ESP,Spain,N/A,N/A,N/A,N/A,N/A
LKA,Sri Lanka,637.9,2812,4211.5,4005,4511.2
SDN,Sudan,N/A,N/A,N/A,N/A,N/A
SUR,Suriname,N/A,N/A,N/A,N/A,N/A
SWZ,Swaziland,N/A,N/A,N/A,N/A,N/A
SWE,Sweden,N/A,N/A,N/A,N/A,N/A
CHE,Switzerland,685.7,611,1541.6,1408.9,1388.5
SYR,Syrian Arab Republic,330.4,128.7,338,135.2,59.9
TJK,Tajikistan,N/A,N/A,N/A,N/A,N/A
THA,Thailand,2816.8,3758.9,4561.2,4274.6,4100.3
MKD,The former Yugoslav Republic of Macedonia,N/A,N/A,N/A,N/A,N/A
TLS,Timor-Leste,N/A,N/A,N/A,N/A,N/A
TGO,Togo,N/A,N/A,N/A,N/A,N/A
TTO,Trinidad and Tobago,N/A,N/A,N/A,N/A,N/A
TUN,Tunisia,1125.9,2226.9,3317.2,2724.1,2802.3
TUR,Turkey,3330.7,6533.1,13947.7,14289.6,15407.9
TKM,Turkmenistan,N/A,N/A,N/A,N/A,N/A
UGA,Uganda,N/A,N/A,N/A,N/A,N/A
UKR,Ukraine,N/A,417.4,668.2,573,584.9
ARE,United Arab Emirates,146.4,463.8,1055.5,1223.2,1599.3
GBR,United Kingdom,N/A,N/A,N/A,N/A,N/A
TJK,United Republic of Tanzania,N/A,N/A,N/A,N/A,N/A
USA,United States of America,2564.8,8628.6,5240.5,5614.2,5859.1
URY,Uruguay,N/A,N/A,N/A,N/A,N/A
UZB,Uzbekistan,N/A,N/A,N/A,N/A,N/A
VAT,Vanuatu,N/A,N/A,N/A,N/A,N/A
VEN,Venezuela (Bolivarian Republic of),N/A,N/A,N/A,N/A,N/A
VNM,Viet Nam,N/A,1821.2,13149.1,14442.8,17230.1
YEM,Yemen,N/A,N/A,N/A,N/A,N/A
ZMB,Zambia,N/A,N/A,N/A,N/A,N/A
ZWE,Zimbabwe,N/A,N/A,N/A,N/A,N/A
