wkt_geom	MWShapeID	Lon	Lat	Tot_Deaths	Mar-2011	Apr-2011	May-2011	Jun-2011	Jul-2011	Aug-2011	Sep-2011	Oct-2011	Nov-2011	Dec-2011	Jan-2012	Feb-2012	Mar-2012	Apr-2012	May-2012	Jun-2012	Jul-2012	Aug-2012	Sep-2012	Oct-2012	Nov-2012	Dec-2012	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014	Jan-2015	Feb-2015	Mar-2015	Apr-2015	May-2015	Jun-2015	Jul-2015	Aug-2015	Sep-2015	Oct-2015	Nov-2015	Dec-2015	Jan-2016	Feb-2016	Air	Artillery	Asphyxi	Beat_Stab	Burned	Chemical	Crushed	Gun_Shot	Mine	Missiles	Other	Outage	Sniper	Stress	Torture	Unspec	Wounds
Point (36.73500500000000102 34.66575799999999674)	0	34.893534	35.88717	456	0	11	7	0	1	0	1	1	1	2	2	0	0	1	2	1	2	0	0	1	5	2	0	1	3	0	373	3	17	3	0	1	0	1	2	2	0	0	1	2	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	416	0	0	0	0	0	0	16	0	0
Point (35.98329600000000283 32.73330099999999732)	0	35.181104	35.942616	98	0	20	7	0	1	0	0	0	0	0	0	0	0	0	7	0	2	3	2	2	1	0	1	1	0	1	20	2	3	0	0	0	0	1	8	0	2	2	1	0	1	4	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	3	12	0	0	0	0	0	56	0	0	0	0	0	0	19	0	0
Point (36.23142200000000201 34.78391899999999737)	0	33.514492	36.298428	9707	0	51	8	19	38	11	9	11	16	23	18	29	21	24	86	50	601	636	758	237	338	502	334	490	550	333	196	257	339	279	192	212	220	168	355	172	156	177	160	121	86	133	137	94	62	82	102	46	260	115	37	34	49	59	46	20	48	39	33	28	282	2713	2	59	4	64	6	4036	0	0	0	218	686	11	1493	8	68
Point (36.62701599999999758 34.64846099999999751)	0	33.541967	36.188936	13392	0	11	1	0	18	4	4	6	13	9	77	43	19	45	43	105	205	299	641	527	586	490	485	382	545	1007	340	356	336	545	348	555	354	329	202	327	339	369	215	261	177	220	171	130	151	161	97	117	158	126	147	70	109	179	132	160	146	183	202	115	1124	4457	1	192	28	119	1	5941	0	0	0	101	405	12	762	4	73
Point (35.8796960000000027 32.77219900000000052)	0	36.213255	37.150154	25055	0	1	1	5	7	5	3	2	0	3	18	39	30	50	64	104	436	907	1125	873	681	822	845	979	679	763	510	552	553	536	414	495	635	1285	1260	1289	602	807	628	538	414	391	257	224	170	326	168	361	193	367	460	361	328	227	314	402	327	450	296	473	3890	9808	12	36	4	13	4	8830	1	163	3	74	1181	85	415	9	91
Point (35.89309699999999737 32.80830000000000268)	0	35.933333	36.633333	10302	0	2	10	34	32	26	62	22	54	211	162	272	447	200	100	175	268	327	240	384	349	198	247	185	204	221	158	174	253	336	200	150	111	87	171	185	195	197	194	200	177	152	157	165	70	90	72	102	276	365	249	171	213	214	111	123	96	159	209	88	1982	3096	0	4	4	7	0	4508	2	0	14	13	85	5	276	3	58
Point (36.72092899999999815 34.60495399999999933)	0	32.710756	36.564875	101	0	3	0	0	0	0	0	1	0	0	1	0	0	0	1	1	6	0	8	0	0	1	11	3	2	4	1	1	0	0	11	1	3	2	3	0	5	4	0	1	1	2	6	0	0	1	0	0	0	3	0	0	5	0	6	0	1	0	1	1	8	21	0	0	0	0	0	53	0	0	0	0	0	0	14	0	1
Point (36.26669600000000315 32.99999900000000252)	0	34.722078	36.71648	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	6	13	5	2	3	2	2	1	5	4	1	2	1	3	0	0	0	2	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	6	10	0	0	0	0	0	37	0	0	0	0	0	0	12	0	0
Point (36.35613399999999729 32.79492299999999716)	0	35.817256	36.320086	564	0	2	1	211	3	1	5	5	1	6	2	3	25	7	0	0	2	11	6	11	8	17	14	9	2	12	7	4	3	12	0	13	5	4	2	2	4	38	4	17	2	5	3	0	0	1	3	0	0	22	2	4	2	8	3	6	0	24	0	0	54	95	1	0	0	0	0	209	1	0	0	0	5	1	25	0	1
Point (36.71694399999999803 34.72513099999999753)	0	34.926193	36.73173	1337	0	34	42	51	1	18	27	28	33	10	33	55	47	34	24	58	101	51	42	22	20	17	47	32	27	18	18	23	22	14	24	12	6	11	20	13	6	16	3	30	2	40	31	14	11	9	6	5	6	14	9	18	4	11	16	8	5	11	20	7	131	625	0	0	0	0	0	463	0	0	0	0	13	1	63	1	7
Point (36.22336899999999815 33.42979400000000112)	0	34.727479	36.730648	26	0	1	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	10	0	0	0	0	0	0	6	0	0
Point (36.722884999999998 34.73601399999999728)		0	34.722126	36.723851	7	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0
Point (36.70759699999999981 34.74631999999999721)	0	35.138862	36.755419	7312	0	17	12	69	123	72	37	52	75	114	127	129	136	167	163	226	439	221	250	126	85	272	181	176	160	220	252	162	124	96	204	140	143	104	116	132	101	133	127	95	152	161	168	129	99	66	33	40	81	79	70	59	76	119	32	133	75	56	49	57	472	1575	14	96	21	2	16	4274	1	0	5	15	176	1	534	4	44
Point (40.07889000000000124 36.84487299999999976)	0	34.512498	36.577556	1498	0	2	2	1	2	16	23	39	17	25	19	34	50	48	55	62	57	59	52	65	21	30	47	20	66	84	270	82	13	5	5	24	11	15	11	12	24	13	3	1	8	35	3	3	4	4	3	3	12	6	5	8	8	0	2	0	7	1	1	0	68	434	0	2	0	0	1	823	1	0	0	0	42	4	87	0	19
Point (36.70770399999999967 34.72002299999999764)	0	34.876848	36.523948	39	0	2	0	0	0	0	0	0	1	2	0	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	2	1	2	0	1	0	1	0	0	0	2	7	0	0	5	9	0	0	0	0	0	21	0	0	0	1	0	0	3	0	0
Point (36.680731999999999 34.69935399999999959)		0	34.745602	36.719616	1021	0	5	10	6	30	8	18	25	31	22	17	403	89	74	22	63	25	26	8	18	9	3	1	3	17	7	9	4	17	3	0	8	4	4	2	5	5	1	3	1	0	2	1	1	2	1	1	1	1	1	0	0	0	2	0	1	0	0	0	1	9	153	0	0	0	0	0	775	0	7	0	0	31	0	35	0	6
Point (36.71473499999999746 36.09141900000000192)	0	33.55824	36.365683	1274	0	5	0	3	1	4	2	5	1	4	10	7	7	5	7	12	30	41	67	203	108	68	36	41	17	57	78	61	21	11	11	6	29	27	20	3	22	15	8	17	14	9	11	17	5	12	10	3	7	18	3	4	3	42	11	6	3	12	10	4	49	349	0	4	0	5	1	655	0	0	0	2	112	2	80	0	10
Point (40.65196000000000254 37.0753130000000013)	0	33.462809	36.239233	2443	0	7	3	0	0	4	3	1	3	1	3	34	24	8	19	27	78	518	29	129	191	203	220	62	66	74	42	15	23	32	37	31	18	16	48	14	16	17	17	8	17	21	4	2	8	21	8	9	92	25	2	1	10	31	9	14	30	22	24	52	52	728	4	0	0	8	0	1343	0	0	0	10	86	3	185	0	17
Point (36.71465599999999796 34.72787600000000197)	0	33.514134	36.347144	1147	0	5	0	0	0	1	3	0	0	1	2	5	0	1	3	101	16	78	85	40	43	6	9	35	9	12	5	17	7	431	15	4	6	7	1	1	3	11	10	15	2	11	10	3	6	5	3	11	8	5	1	1	5	7	12	12	2	26	24	5	91	317	0	23	0	416	0	257	0	0	0	1	24	0	13	0	3
Point (36.72395000000000209 34.71437699999999893)	0	32.828806	36.156938	599	0	12	0	0	0	0	0	0	0	0	0	2	0	0	4	5	55	8	9	1	12	2	15	1	16	13	4	3	18	16	23	5	12	6	18	5	11	6	10	5	11	3	4	4	61	29	11	9	12	3	0	6	2	3	5	11	22	34	68	4	39	141	0	0	11	0	0	334	0	0	1	1	30	0	35	0	5
Point (36.25873099999999738 33.62219600000000241)	0	32.890317	36.042368	978	0	9	5	0	0	5	0	0	2	12	13	6	7	2	6	8	8	14	9	2	8	3	15	9	31	20	22	5	105	39	64	57	15	11	16	27	25	40	48	37	36	11	8	6	94	14	5	5	8	6	1	10	5	7	0	6	10	10	22	9	50	378	1	1	2	0	0	460	0	0	0	2	10	0	60	0	7
Point (36.25030000000000285 32.93330100000000016)	0	33.643635	36.689515	512	0	1	3	0	5	4	0	4	0	8	12	12	5	3	12	2	27	38	5	6	6	5	2	13	4	23	9	10	11	8	45	1	3	44	3	4	4	9	21	0	3	8	0	5	5	4	2	15	6	9	1	6	8	3	0	1	6	8	13	37	8	99	0	0	0	0	0	307	0	0	0	0	26	0	56	1	2
Point (36.02559899999999971 32.71109899999999726)	0	33.528803	36.387033	923	0	1	1	0	0	0	4	2	0	2	15	4	0	0	3	35	19	37	6	52	13	26	5	76	13	3	5	5	4	272	12	20	6	4	7	5	2	14	4	10	2	6	35	6	3	4	59	8	4	0	0	2	0	24	8	12	5	50	2	6	258	186	0	1	2	261	0	197	0	0	0	3	5	0	5	0	3
Point (37.05717099999999675 34.2498379999999969)	0	35.362946	35.924678	87	0	27	1	4	0	2	0	0	0	0	1	2	1	0	0	0	0	1	2	4	3	2	2	0	1	3	5	1	2	2	0	0	0	0	1	0	2	1	1	0	0	1	0	0	0	1	1	0	2	1	1	1	0	0	0	1	4	2	1	0	0	3	0	0	0	0	0	60	0	0	0	0	1	0	21	0	0
Point (36.72556800000000266 34.72411000000000314)	0	35.648718	36.676469	1311	0	1	17	12	3	3	2	2	6	9	10	26	40	16	9	34	37	28	23	229	132	66	14	21	15	45	11	7	19	24	23	22	15	14	13	16	16	22	18	4	19	5	30	5	5	32	5	3	8	19	12	18	5	6	3	11	25	11	58	7	251	501	0	0	0	0	1	464	0	0	4	6	20	1	29	0	26
Point (36.74167200000000122 34.71804300000000154)	0	36.375271	37.51811	1314	0	1	0	0	0	0	2	0	0	0	0	4	1	9	6	16	55	24	74	27	22	7	25	16	6	5	17	16	1	7	23	5	105	57	91	20	12	8	10	6	22	28	74	6	52	69	43	16	5	16	66	2	86	5	1	46	4	35	46	14	474	507	0	0	0	0	0	275	0	0	0	1	11	1	13	0	9
Point (36.6766409999999965 34.63793900000000292)	0	36.525088	36.865997	107	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	2	22	1	0	3	2	1	3	10	2	4	6	1	1	2	1	4	1	1	0	5	2	2	2	2	5	0	3	1	1	0	1	0	0	2	1	0	1	2	0	0	2	15	25	0	1	0	0	0	44	0	0	0	0	5	0	7	0	1
Point (35.97599400000000003 34.63543200000000155)	0	35.349856	40.165787	6811	0	1	9	20	35	115	12	2	17	9	32	20	47	38	53	300	344	326	462	341	163	210	127	123	130	143	138	128	88	148	81	147	48	108	31	74	96	132	213	140	115	85	100	62	79	106	57	54	72	70	206	85	114	93	106	114	86	132	311	113	978	1800	14	4	13	4	1	3016	22	0	0	55	252	2	294	0	39
Point (37.05222100000000296 35.01228299999999649)	0	34.026486	36.728826	610	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	2	4	3	1	13	4	15	11	13	2	15	17	11	2	5	5	6	56	346	14	9	3	5	33	4	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	194	0	0	0	0	0	328	0	0	0	0	18	0	66	0	2
Point (36.06669899999999984 33.04999899999999968)	0	35.867352	36.802382	712	0	1	0	2	2	0	3	6	6	9	13	5	45	9	15	11	46	38	34	16	34	8	6	4	8	57	11	5	21	11	16	5	3	0	10	2	4	8	5	12	3	15	21	20	3	11	3	3	20	24	22	20	23	9	2	0	10	4	4	4	146	293	3	0	1	0	0	226	0	0	0	0	10	0	15	0	11
Point (36.70476399999999728 34.69425600000000287)	0	34.672041	36.261821	256	0	2	55	2	3	0	5	1	8	10	12	3	9	2	0	3	5	6	4	19	6	10	1	0	19	10	2	21	4	3	0	15	3	1	1	3	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	16	0	18	0	0	0	158	1	0	0	1	9	0	36	0	3
Point (37.95277099999999848 36.5305359999999979)	0	33.316699	36.183296	71	0	2	0	0	1	0	0	0	0	0	0	0	0	1	7	0	1	2	2	10	4	1	0	3	0	2	1	1	1	0	1	1	2	2	2	2	1	1	0	2	1	1	0	2	4	1	1	1	4	1	0	1	0	1	0	0	0	0	0	0	1	18	0	0	0	0	0	38	0	0	0	1	0	0	13	0	0
Point (38.35753400000000113 36.89293899999999837)	0	33.692924	36.096153	317	0	1	0	1	0	0	0	3	0	1	2	40	9	2	1	4	6	3	1	10	4	2	5	1	5	2	2	4	1	7	10	2	5	9	1	0	8	5	2	2	0	2	1	3	1	5	10	0	3	1	5	8	21	32	9	4	4	19	27	1	22	75	0	0	0	0	0	128	0	0	0	34	29	0	22	0	3
Point (36.73075500000000204 34.73749300000000062)	0	34.823809	36.696539	358	0	2	3	0	0	0	0	1	0	7	4	0	0	0	7	5	8	15	13	18	6	9	11	2	7	3	9	13	4	8	3	2	6	2	5	2	4	18	6	6	4	1	5	1	4	2	1	1	3	17	0	2	3	6	1	66	1	0	15	16	110	144	0	0	2	0	0	81	0	0	0	0	6	1	14	0	0
Point (36.83112100000000311 36.13565700000000191)	0	34.803937	36.706839	115	0	1	0	0	0	0	0	0	0	3	1	1	1	1	0	1	1	5	3	2	2	0	0	3	8	0	1	3	1	2	0	1	1	0	1	0	3	3	0	7	1	0	3	0	1	1	1	2	2	0	0	1	0	0	0	31	3	6	1	6	33	17	0	0	0	0	0	52	0	0	0	0	3	0	10	0	0
Point (36.59746200000000016 33.74289799999999673)	0	34.718625	36.721544	43	0	8	0	0	1	2	2	1	1	0	1	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	37	0	0	0	0	3	0	0	0	0
Point (37.30559699999999879 34.81230599999999953)	0	32.9369 	35.701098	169	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	4	1	1	2	2	8	1	3	3	0	2	2	1	6	3	3	2	5	29	1	0	3	8	7	1	6	3	4	2	2	0	3	1	13	5	10	5	0	6	0	2	1	2	26	72	0	0	0	0	0	51	0	0	0	0	7	1	8	0	3
Point (36.70745999999999754 34.73085400000000078)	0	32.834401	35.968899	187	0	2	0	0	0	0	1	3	1	1	0	6	0	1	1	3	2	2	6	1	3	7	1	11	1	4	7	2	8	1	7	3	6	1	0	11	6	6	7	15	9	1	3	3	3	1	5	0	4	1	0	2	0	0	0	2	7	2	5	2	1	96	0	0	0	0	0	76	0	0	0	0	1	0	12	0	1
